nexonsn,npsn,bonusprob,bonustype,gender,classgroup,charid,probitemgetresult,itemlevel,itemget,itemid,itemtype,itemgrade,itemenchantbef,itemenchantaft,itemuid,itemgetprob,playtime,chartype,usernickname,charcode,probitemgettype,userlevel,tribe,ispcroom,idcategory,id,actionid,charlevel,charname,class,isburningchar
50811551,null,"WrappedArray(85.0, 0.0, 0.0, 15.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,102247031,1,40,1,1312007,1,1,3,4,5908723664592900793,85,4542,null,null,null,1,null,3110,2,WrappedArray(meso),WrappedArray(10864),20211215230002940,39,달팽이디몬,3110,0
1644800663,null,"WrappedArray(84.0, 0.0, 0.0, 16.0, 0.0, 1.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,27931407,1,80,1,1002271,1,2,4,5,4035230836696604129,80,4765,null,null,null,1,null,15512,2,WrappedArray(meso),WrappedArray(103400),20211215225909471,179,환창공,15512,0
1628045768,null,"WrappedArray(75.0, 0.0, 0.0, 25.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,1601532,1,100,1,1050099,1,2,5,6,1520418457782,75,13006,null,null,null,1,null,16412,2,WrappedArray(meso),WrappedArray(241000),20211215225910268,100,늑머하루찡,16412,0
1963362608,null,"WrappedArray(84.0, 0.0, 0.0, 16.0, 0.0, 1.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7084561,1,80,1,1050081,1,2,4,5,5476379075322892781,80,2348,null,null,null,1,null,2111,2,WrappedArray(meso),WrappedArray(103400),20211215225911700,87,씌에끼야,2111,0
873061154,null,"WrappedArray(70.0, 0.0, 0.0, 30.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,33018487,1,150,1,1062165,1,2,6,7,2021277163583516897,70,410,null,null,null,1,null,113,2,WrappedArray(meso),WrappedArray(898700),20211215225912132,242,내집사해라냥,113,0
1829569141,null,"WrappedArray(85.0, 0.0, 0.0, 15.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7084888,1,65,1,1032020,1,0,2,3,5476379075322892860,85,128,null,null,null,1,null,1512,2,WrappedArray(meso),WrappedArray(34000),20211215225913002,102,김또모,1512,0
252200457,null,"WrappedArray(45.0, 55.0, 0.0, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,5903745,3,200,1,1482221,1,4,11,10,4899918065321598427,45,18650,null,null,null,1,null,15513,2,WrappedArray(meso),WrappedArray(16400100),20211215225913443,269,아크토어,15513,0
84546819,null,"WrappedArray(50.0, 0.0, 0.0, 50.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,1414266,1,140,1,1032200,1,4,10,11,1279900389640,50,9740,null,null,null,1,null,223,2,WrappedArray(meso),WrappedArray(4448200),20211215225913770,262,찌질상민,223,0
84546819,null,"WrappedArray(45.0, 55.0, 0.0, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,1414266,3,140,1,1032200,1,4,11,10,1279900389640,45,9741,null,null,null,1,null,223,2,WrappedArray(meso),WrappedArray(5625900),20211215225915329,262,찌질상민,223,0
1694630828,null,"WrappedArray(85.0, 0.0, 0.0, 15.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,90540271,1,130,1,1072976,1,2,2,3,4755802164281151116,85,15693,null,null,null,1,null,533,2,WrappedArray(meso),WrappedArray(251370),20211215225915888,275,과설탕,533,0
1627685185,null,"WrappedArray(40.0, 59.99, 0.01, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,26347999,3,145,1,1022277,1,1,12,11,4755801666064795689,40,72820,null,null,null,1,null,10113,2,WrappedArray(meso),WrappedArray(7370100),20211215225915728,251,보린,10113,0
1829569141,null,"WrappedArray(80.0, 0.0, 0.0, 20.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7084888,1,65,1,1032020,1,0,4,5,5476379075322892860,80,132,null,null,null,1,null,1512,2,WrappedArray(meso),WrappedArray(55900),20211215225916634,102,김또모,1512,0
1610913775,null,"WrappedArray(70.0, 0.0, 0.0, 30.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,16369079,1,110,1,1113149,1,2,6,7,1729524692156927280,70,521,null,null,null,1,null,2413,2,WrappedArray(meso),WrappedArray(336330),20211215225917419,249,아씨시바,2413,0
1158280694,null,"WrappedArray(55.0, 0.0, 0.0, 45.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7048162,1,150,1,1132296,1,1,9,10,8070451713364002582,55,943,null,null,null,1,null,332,2,WrappedArray(meso),WrappedArray(1351000),20211215225918657,141,mmiinnssuu33,332,0
1644827676,null,"WrappedArray(95.0, 0.0, 0.0, 5.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7084008,1,100,1,1072229,1,2,0,1,576462693628685394,95,4160,null,null,null,1,null,2312,2,WrappedArray(meso),WrappedArray(41000),20211215225919344,101,본캐안해메르,2312,0
1694630828,null,"WrappedArray(85.0, 0.0, 0.0, 15.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,90540271,1,130,1,1072976,1,2,3,4,4755802164281151116,85,15697,null,null,null,1,null,533,2,WrappedArray(meso),WrappedArray(334875),20211215225919484,275,과설탕,533,0
1627685185,null,"WrappedArray(40.0, 0.0, 0.01, 60.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,26347999,1,145,1,1022277,1,1,12,13,4755801666064795689,40,72824,null,null,null,1,null,10113,2,WrappedArray(meso),WrappedArray(7370100),20211215225919310,251,보린,10113,0
1778459736,null,"WrappedArray(52.5, 0.0, 0.0, 47.5, 0.0, 1.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,5397504,1,130,1,1004237,1,0,10,11,5764609421409829196,50,2784,null,null,null,1,null,16413,1,WrappedArray(meso),WrappedArray(3383615),20211215225921541,230,개념호영요,16413,0
1426388711,null,"WrappedArray(65.0, 0.0, 0.0, 35.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7082944,2,100,1,1442044,1,0,7,7,1729384202530505639,65,4955,null,null,null,1,null,132,2,WrappedArray(meso),WrappedArray(321000),20211215225921344,100,손창꾼,132,0
654523618,null,"WrappedArray(84.0, 0.0, 0.0, 16.0, 0.0, 1.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,27933614,1,80,1,1002338,1,1,4,5,7205760597793714387,80,297,null,null,null,1,null,15111,2,WrappedArray(meso),WrappedArray(103400),20211215225922137,80,메카는제니쓰,15111,0
1577220647,null,"WrappedArray(85.0, 0.0, 0.0, 15.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,97938318,1,150,1,1042258,1,1,3,4,4179341407683177896,85,11656,null,null,null,1,null,15113,2,WrappedArray(meso),WrappedArray(524770),20211215225922733,224,중이의아델,15113,0
101306738,null,"WrappedArray(80.0, 0.0, 0.0, 20.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,102242345,1,65,1,1382007,1,2,4,5,576519373689388110,80,1843,null,null,null,1,null,1211,2,WrappedArray(meso),WrappedArray(55900),20211215225923427,66,태봉이의플위,1211,0
84546819,null,"WrappedArray(50.0, 0.0, 0.0, 50.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,1414266,2,140,1,1032200,1,4,10,10,1279900389640,50,9750,null,null,null,1,null,223,2,WrappedArray(meso),WrappedArray(4448200),20211215225924651,262,찌질상민,223,0
1426388711,null,"WrappedArray(95.0, 0.0, 0.0, 5.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7082944,1,100,1,1040122,1,0,0,1,7638106162021337630,95,4960,null,null,null,1,null,132,2,WrappedArray(meso),WrappedArray(41000),20211215225926710,100,손창꾼,132,0
470339390,null,"WrappedArray(40.0, 59.99, 0.01, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,5829231,3,130,1,1092089,1,2,12,11,4899918202760688959,40,1051,null,null,null,1,null,2219,2,WrappedArray(meso),WrappedArray(5591100),20211215225927728,244,greedyfate,2219,0
671104944,null,"WrappedArray(75.0, 0.0, 0.0, 25.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,96565386,1,110,1,1292009,1,2,5,6,4611828475149364284,75,5636,null,null,null,1,null,16413,2,WrappedArray(meso),WrappedArray(320400),20211215225928345,220,매화흥,16413,0
1829175098,null,"WrappedArray(30.0, 0.0, 0.03, 70.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,28825338,2,140,1,1113055,1,4,15,15,7205760400225719605,30,9853,null,null,null,1,null,423,2,WrappedArray(meso),WrappedArray(22015980),20211215225928709,243,준발,423,0
436489179,null,"WrappedArray(85.0, 0.0, 0.0, 15.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,97328451,2,80,1,1082117,1,2,2,2,142499671497074,85,8332,null,null,null,1,null,3113,2,WrappedArray(meso),WrappedArray(62400),20211215225929956,242,네힁시즌2,3113,0
1375976297,null,"WrappedArray(95.0, 0.0, 0.0, 5.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7079787,1,140,1,1072968,1,2,0,1,7205760602088748105,95,3473,null,null,null,1,null,222,2,WrappedArray(meso),WrappedArray(110800),20211215225929572,171,리미짱짱썬콜,222,0
1174931707,null,"WrappedArray(75.0, 0.0, 0.0, 25.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,92210785,2,140,1,1582015,1,2,5,5,3891111040120913202,75,4172,null,null,null,1,null,3513,2,WrappedArray(meso),WrappedArray(659600),20211215225930396,240,평양카센타,3513,0
1426388711,null,"WrappedArray(85.0, 0.0, 0.0, 15.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7082944,1,100,1,1040122,1,0,3,4,7638106162021337630,85,4964,null,null,null,1,null,132,2,WrappedArray(meso),WrappedArray(161000),20211215225930945,100,손창꾼,132,0
1375976297,null,"WrappedArray(90.0, 0.0, 0.0, 10.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7079787,1,140,1,1072968,1,2,1,2,7205760602088748105,90,3475,null,null,null,1,null,222,2,WrappedArray(meso),WrappedArray(220500),20211215225930840,171,리미짱짱썬콜,222,0
587509861,null,"WrappedArray(35.0, 0.0, 0.02, 65.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,20624518,1,200,1,1342104,1,4,13,14,6054620158828209264,35,66836,null,null,null,1,null,435,2,WrappedArray(meso),WrappedArray(22378770),20211215225931763,260,Bless,435,0
906083336,null,"WrappedArray(75.0, 0.0, 0.0, 25.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,102233304,1,100,1,1522012,1,2,5,6,5476435879936686693,75,10501,null,null,null,1,null,15513,1,WrappedArray(meso),WrappedArray(228950),20211215225931326,201,청율담,15513,0
1644827676,null,"WrappedArray(65.0, 0.0, 0.0, 35.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7084008,1,100,1,1072229,1,2,7,8,576462693628685394,65,4173,null,null,null,1,null,2312,2,WrappedArray(meso),WrappedArray(321000),20211215225931946,101,본캐안해메르,2312,0
470339390,null,"WrappedArray(40.0, 0.0, 0.01, 60.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,5829231,1,130,1,1092089,1,2,12,13,4899918202760688959,40,1057,null,null,null,1,null,2219,2,WrappedArray(meso),WrappedArray(5591100),20211215225932920,244,greedyfate,2219,0
33796860,null,"WrappedArray(85.0, 0.0, 0.0, 15.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,97970728,1,58,1,1050053,1,2,3,4,2594215850676651683,85,29924,null,null,null,1,null,332,2,WrappedArray(meso),WrappedArray(32200),20211215225933527,135,아다지상,332,0
369719965,null,"WrappedArray(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,6694100,1,0,1,0,0,,51083,28017,0,1.666666666666667E9,9,null,null,null,5,null,332,2,"WrappedArray(itemboxtype, itemboxid, purchaseSN, itemuid)","WrappedArray(FaceCoupon, 5152091, 150100000, 101176151)",20211215225933828,200,너만이나에게,332,0
2114468197,null,"WrappedArray(60.0, 0.0, 0.0, 40.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,41623678,1,120,1,1032031,1,2,8,9,576466567689221537,60,83,null,null,null,1,null,435,2,WrappedArray(meso),WrappedArray(623100),20211215225933566,237,소라찜에소주,435,0
1946660489,null,"WrappedArray(30.0, 69.97, 0.03, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,6090623,3,160,1,1152178,1,4,16,15,1441156102711605390,30,2492,null,null,null,1,null,413,2,WrappedArray(meso),WrappedArray(38707470),20211215225934352,250,청시환,413,0
